show,description
Other Desert Cities,"The show 'Other Desert Cities' ran from 2011-10-16 to 2012-06-17. It had an average weekly revenue of $411,107.25 and a total revenue of $14,799,861.00."
Venus in Fur,"The show 'Venus in Fur' ran from 2011-10-16 to 2012-06-17. It had an average weekly revenue of $329,315.34 and a total revenue of $9,550,145.00."
How to Succeed in Business Without Really Trying,"The show 'How to Succeed in Business Without Really Trying' ran from 1995-03-12 to 2012-05-20. It had an average weekly revenue of $655,988.44 and a total revenue of $89,214,428.00."
Leap of Faith,"The show 'Leap of Faith' ran from 2012-04-08 to 2012-05-13. It had an average weekly revenue of $223,973.33 and a total revenue of $1,343,840.00."
Magic/Bird,"The show 'Magic/Bird' ran from 2012-03-25 to 2012-05-13. It had an average weekly revenue of $142,012.75 and a total revenue of $1,136,102.00."
Seminar,"The show 'Seminar' ran from 2011-10-30 to 2012-05-06. It had an average weekly revenue of $350,703.29 and a total revenue of $9,819,692.00."
Wit,"The show 'Wit' ran from 2012-01-08 to 2012-03-18. It had an average weekly revenue of $209,309.55 and a total revenue of $2,302,405.00."
The Road to Mecca,"The show 'The Road to Mecca' ran from 2011-12-18 to 2012-03-04. It had an average weekly revenue of $173,554.67 and a total revenue of $2,082,656.00."
Shatner's World: We Just Live in It,"The show 'Shatner's World: We Just Live in It' ran from 2012-02-19 to 2012-03-04. It had an average weekly revenue of $304,668.67 and a total revenue of $914,006.00."
Stick Fly,"The show 'Stick Fly' ran from 2011-11-20 to 2012-02-26. It had an average weekly revenue of $284,169.53 and a total revenue of $4,262,543.00."
Chinglish,"The show 'Chinglish' ran from 2011-10-16 to 2012-01-29. It had an average weekly revenue of $270,337.56 and a total revenue of $4,325,401.00."
On a Clear Day You Can See Forever,"The show 'On a Clear Day You Can See Forever' ran from 2011-11-13 to 2012-01-29. It had an average weekly revenue of $604,431.58 and a total revenue of $7,253,179.00."
Relatively Speaking,"The show 'Relatively Speaking' ran from 2011-09-25 to 2012-01-29. It had an average weekly revenue of $530,396.16 and a total revenue of $10,077,527.00."
Follies,"The show 'Follies' ran from 2001-03-11 to 2012-01-22. It had an average weekly revenue of $605,622.95 and a total revenue of $26,647,410.00."
The Mountaintop,"The show 'The Mountaintop' ran from 2011-09-25 to 2012-01-22. It had an average weekly revenue of $603,565.61 and a total revenue of $10,864,181.00."
An Evening with Patti LuPone and Mandy Patinkin,"The show 'An Evening with Patti LuPone and Mandy Patinkin' ran from 2011-11-20 to 2012-01-15. It had an average weekly revenue of $407,569.00 and a total revenue of $3,260,552.00."
Billy Elliot: The Musical,"The show 'Billy Elliot: The Musical' ran from 2008-10-05 to 2012-01-08. It had an average weekly revenue of $1,073,183.50 and a total revenue of $183,514,378.00."
Lysistrata Jones,"The show 'Lysistrata Jones' ran from 2011-11-20 to 2012-01-08. It had an average weekly revenue of $169,407.00 and a total revenue of $1,355,256.00."
The Addams Family,"The show 'The Addams Family' ran from 2010-03-14 to 2012-01-01. It had an average weekly revenue of $912,390.44 and a total revenue of $86,677,092.00."
Bonnie & Clyde,"The show 'Bonnie & Clyde' ran from 2011-11-06 to 2012-01-01. It had an average weekly revenue of $364,149.67 and a total revenue of $3,277,347.00."
Hugh Jackman Back on Broadway,"The show 'Hugh Jackman Back on Broadway' ran from 2011-10-30 to 2012-01-01. It had an average weekly revenue of $1,463,498.50 and a total revenue of $14,634,985.00."
Private Lives,"The show 'Private Lives' ran from 1992-02-16 to 2012-01-01. It had an average weekly revenue of $306,325.33 and a total revenue of $10,108,736.00."
Man and Boy,"The show 'Man and Boy' ran from 2011-09-11 to 2011-11-27. It had an average weekly revenue of $257,967.25 and a total revenue of $3,095,607.00."
Hair,"The show 'Hair' ran from 2009-03-08 to 2011-09-11. It had an average weekly revenue of $683,855.96 and a total revenue of $54,024,621.00."
Baby It's You!,"The show 'Baby It's You!' ran from 2011-03-27 to 2011-09-04. It had an average weekly revenue of $379,653.92 and a total revenue of $9,111,694.00."
Catch Me If You Can,"The show 'Catch Me If You Can' ran from 2011-03-13 to 2011-09-04. It had an average weekly revenue of $643,356.96 and a total revenue of $15,440,567.00."
Master Class,"The show 'Master Class' ran from 1995-10-29 to 2011-09-04. It had an average weekly revenue of $185,119.25 and a total revenue of $18,326,806.00."
Jerusalem,"The show 'Jerusalem' ran from 2011-04-03 to 2011-08-21. It had an average weekly revenue of $381,172.29 and a total revenue of $8,004,618.00."
Rain: A Tribute to the Beatles,"The show 'Rain: A Tribute to the Beatles' ran from 2010-10-24 to 2011-07-31. It had an average weekly revenue of $474,064.05 and a total revenue of $18,014,434.00."
The Motherf**ker With the Hat,"The show 'The Motherf**ker With the Hat' ran from 2011-03-20 to 2011-07-17. It had an average weekly revenue of $580,629.06 and a total revenue of $10,451,323.00."
Ghetto Klown,"The show 'Ghetto Klown' ran from 2011-02-27 to 2011-07-10. It had an average weekly revenue of $308,977.00 and a total revenue of $6,179,540.00."
The Normal Heart,"The show 'The Normal Heart' ran from 2011-04-24 to 2011-07-10. It had an average weekly revenue of $353,142.08 and a total revenue of $4,237,705.00."
Bengal Tiger at the Baghdad Zoo,"The show 'Bengal Tiger at the Baghdad Zoo' ran from 2011-03-13 to 2011-07-03. It had an average weekly revenue of $464,107.12 and a total revenue of $7,889,821.00."
Born Yesterday,"The show 'Born Yesterday' ran from 1989-01-22 to 2011-06-26. It had an average weekly revenue of $173,136.09 and a total revenue of $5,886,627.00."
The House of Blue Leaves,"The show 'The House of Blue Leaves' ran from 1986-05-11 to 2011-06-26. It had an average weekly revenue of $235,608.26 and a total revenue of $9,188,722.00."
The Importance of Being Earnest,"The show 'The Importance of Being Earnest' ran from 2010-12-19 to 2011-06-26. It had an average weekly revenue of $286,175.89 and a total revenue of $8,012,925.00."
Arcadia,"The show 'Arcadia' ran from 1995-03-05 to 2011-06-19. It had an average weekly revenue of $248,846.21 and a total revenue of $10,700,387.00."
The People in the Picture,"The show 'The People in the Picture' ran from 2011-04-03 to 2011-06-19. It had an average weekly revenue of $205,785.17 and a total revenue of $2,469,422.00."
Million Dollar Quartet,"The show 'Million Dollar Quartet' ran from 2010-03-14 to 2011-06-12. It had an average weekly revenue of $439,435.80 and a total revenue of $29,002,763.00."
Good People,"The show 'Good People' ran from 2011-02-13 to 2011-05-29. It had an average weekly revenue of $370,913.13 and a total revenue of $5,563,697.00."
That Championship Season,"The show 'That Championship Season' ran from 2011-02-13 to 2011-05-29. It had an average weekly revenue of $527,688.69 and a total revenue of $8,443,019.00."
Lombardi,"The show 'Lombardi' ran from 2010-09-26 to 2011-05-22. It had an average weekly revenue of $266,096.89 and a total revenue of $9,313,391.00."
Wonderland,"The show 'Wonderland' ran from 2011-03-27 to 2011-05-15. It had an average weekly revenue of $554,871.38 and a total revenue of $4,438,971.00."
La Cage aux Folles,"The show 'La Cage aux Folles' ran from 1985-06-09 to 2011-05-01. It had an average weekly revenue of $396,400.43 and a total revenue of $85,622,493.00."
American Idiot,"The show 'American Idiot' ran from 2010-03-28 to 2011-04-24. It had an average weekly revenue of $698,211.44 and a total revenue of $39,798,052.00."
High,"The show 'High' ran from 2011-03-27 to 2011-04-24. It had an average weekly revenue of $89,991.00 and a total revenue of $449,955.00."
Driving Miss Daisy,"The show 'Driving Miss Daisy' ran from 2010-10-10 to 2011-04-10. It had an average weekly revenue of $503,208.41 and a total revenue of $13,586,627.00."
Kathy Griffin Wants a Tony,"The show 'Kathy Griffin Wants a Tony' ran from 2011-03-13 to 2011-03-20. It had an average weekly revenue of $510,940.00 and a total revenue of $1,021,880.00."
Colin Quinn: Long Story Short,"The show 'Colin Quinn: Long Story Short' ran from 2010-10-24 to 2011-03-06. It had an average weekly revenue of $153,783.10 and a total revenue of $3,075,662.00."
The Merchant of Venice,"The show 'The Merchant of Venice' ran from 1989-12-03 to 2011-02-20. It had an average weekly revenue of $703,594.41 and a total revenue of $20,404,238.00."
Time Stands Still,"The show 'Time Stands Still' ran from 2010-01-10 to 2011-01-30. It had an average weekly revenue of $336,388.42 and a total revenue of $10,428,041.00."
Next to Normal,"The show 'Next to Normal' ran from 2009-03-29 to 2011-01-16. It had an average weekly revenue of $334,363.01 and a total revenue of $31,764,486.00."
A Free Man of Color,"The show 'A Free Man of Color' ran from 2010-10-24 to 2011-01-09. It had an average weekly revenue of $235,626.42 and a total revenue of $2,827,517.00."
In the Heights,"The show 'In the Heights' ran from 2008-02-17 to 2011-01-09. It had an average weekly revenue of $690,221.27 and a total revenue of $103,533,191.00."
La Bête,"The show 'La Bête' ran from 1991-02-03 to 2011-01-09. It had an average weekly revenue of $226,155.33 and a total revenue of $4,749,262.00."
A Little Night Music,"The show 'A Little Night Music' ran from 2009-11-29 to 2011-01-09. It had an average weekly revenue of $689,404.77 and a total revenue of $38,606,667.00."
Bloody Bloody Andrew Jackson,"The show 'Bloody Bloody Andrew Jackson' ran from 2010-09-26 to 2011-01-02. It had an average weekly revenue of $375,303.93 and a total revenue of $5,629,559.00."
Brief Encounter,"The show 'Brief Encounter' ran from 2010-09-12 to 2011-01-02. It had an average weekly revenue of $306,492.47 and a total revenue of $5,210,372.00."
Donny & Marie - A Broadway Christmas,"The show 'Donny & Marie - A Broadway Christmas' ran from 2010-12-12 to 2011-01-02. It had an average weekly revenue of $710,865.75 and a total revenue of $2,843,463.00."
The Pee-wee Herman Show,"The show 'The Pee-wee Herman Show' ran from 2010-10-31 to 2011-01-02. It had an average weekly revenue of $629,695.90 and a total revenue of $6,296,959.00."
Promises Promises,"The show 'Promises Promises' ran from 2010-03-28 to 2011-01-02. It had an average weekly revenue of $1,047,608.20 and a total revenue of $42,951,936.00."
Women on the Verge of a Nervous Breakdown,"The show 'Women on the Verge of a Nervous Breakdown' ran from 2010-10-10 to 2011-01-02. It had an average weekly revenue of $370,790.15 and a total revenue of $4,820,272.00."
The Pitmen Painters,"The show 'The Pitmen Painters' ran from 2010-09-19 to 2010-12-12. It had an average weekly revenue of $194,702.31 and a total revenue of $2,531,130.00."
The Scottsboro Boys,"The show 'The Scottsboro Boys' ran from 2010-10-10 to 2010-12-12. It had an average weekly revenue of $275,041.10 and a total revenue of $2,750,411.00."
Elling,"The show 'Elling' ran from 2010-11-07 to 2010-11-28. It had an average weekly revenue of $171,709.25 and a total revenue of $686,837.00."
A Life in the Theatre,"The show 'A Life in the Theatre' ran from 2010-09-26 to 2010-11-28. It had an average weekly revenue of $258,374.50 and a total revenue of $2,583,745.00."
Mrs. Warren's Profession,"The show 'Mrs. Warren's Profession' ran from 2010-09-05 to 2010-11-28. It had an average weekly revenue of $224,421.69 and a total revenue of $2,917,482.00."
Come Fly Away,"The show 'Come Fly Away' ran from 2010-03-07 to 2010-09-05. It had an average weekly revenue of $680,302.15 and a total revenue of $18,368,158.00."
Race,"The show 'Race' ran from 2009-11-22 to 2010-08-22. It had an average weekly revenue of $373,497.75 and a total revenue of $14,939,910.00."
South Pacific,"The show 'South Pacific' ran from 2008-03-02 to 2010-08-22. It had an average weekly revenue of $743,698.95 and a total revenue of $95,937,165.00."
Lend Me a Tenor,"The show 'Lend Me a Tenor' ran from 1989-02-19 to 2010-08-15. It had an average weekly revenue of $195,997.45 and a total revenue of $16,659,783.00."
Harry Connick Jr. in Concert on Broadway,"The show 'Harry Connick Jr. in Concert on Broadway' ran from 1990-11-25 to 2010-08-01. It had an average weekly revenue of $541,821.33 and a total revenue of $3,250,928.00."
Everyday Rapture,"The show 'Everyday Rapture' ran from 2010-04-25 to 2010-07-11. It had an average weekly revenue of $196,524.92 and a total revenue of $2,358,299.00."
Fences,"The show 'Fences' ran from 1987-03-22 to 2010-07-11. It had an average weekly revenue of $333,820.58 and a total revenue of $26,705,646.00."
Next Fall,"The show 'Next Fall' ran from 2010-02-21 to 2010-07-04. It had an average weekly revenue of $152,841.50 and a total revenue of $3,056,830.00."
Red,"The show 'Red' ran from 2010-03-14 to 2010-06-27. It had an average weekly revenue of $427,231.00 and a total revenue of $6,835,696.00."
Sondheim on Sondheim,"The show 'Sondheim on Sondheim' ran from 2010-03-21 to 2010-06-27. It had an average weekly revenue of $356,842.80 and a total revenue of $5,352,642.00."
Collected Stories,"The show 'Collected Stories' ran from 2010-04-11 to 2010-06-13. It had an average weekly revenue of $134,863.90 and a total revenue of $1,348,639.00."
A Behanding in Spokane,"The show 'A Behanding in Spokane' ran from 2010-02-21 to 2010-06-06. It had an average weekly revenue of $456,500.94 and a total revenue of $7,304,015.00."
God of Carnage,"The show 'God of Carnage' ran from 2009-03-01 to 2010-06-06. It had an average weekly revenue of $612,222.69 and a total revenue of $37,345,584.00."
Enron,"The show 'Enron' ran from 2010-04-11 to 2010-05-09. It had an average weekly revenue of $297,814.80 and a total revenue of $1,489,074.00."
Looped,"The show 'Looped' ran from 2010-02-21 to 2010-04-11. It had an average weekly revenue of $157,815.62 and a total revenue of $1,262,525.00."
All About Me,"The show 'All About Me' ran from 2010-02-28 to 2010-04-04. It had an average weekly revenue of $225,749.00 and a total revenue of $1,354,494.00."
The Miracle Worker,"The show 'The Miracle Worker' ran from 2010-02-14 to 2010-04-04. It had an average weekly revenue of $210,883.38 and a total revenue of $1,687,067.00."
Bye Bye Birdie,"The show 'Bye Bye Birdie' ran from 2009-09-13 to 2010-01-24. It had an average weekly revenue of $574,272.95 and a total revenue of $11,485,459.00."
